EVAL_ID,BUILDINGTYPE,CLIENTCITY,ClientPcode,EntrydateD,COMMONHEATEDFLOORAREA,COMMONSPACEELECCONS,DECADEBUILT,EGHFCONELEC,EGHFCONNGAS,EGHFCONOIL,EGHFCONPROP,EGHFCONTOTAL,EGHFCONWOOD,EGHFURNACEAEC,EGHHEATFCONSE,EGHHEATFCONSG,EGHHEATFCONSO,EGHHEATFCONSP,EGHHEATFCONSW,EGHRATING,EGHSPACEENERGY,ELECAUTOCHRGSTATION,ERSELECGHG,ERSGHG,ERSLIGHTAPPLIANCEENERGY,ERSNGASGHG,ERSOILGHG,ERSOTHERELECENERGY,ERSPROPGHG,ERSRATING,ERSSPACECOOLENERGY,ERSVENTILATIONENERGY,ERSWATERHEATINGENERGY,ERSWOODGHG,FLOORAREA,FURNACEFUEL,HEATEDFLOORAREA,INDFURNACEFUEL,INDFURNACETYPE,NUMDWELLINGUNITS,PDHWFUEL,TOTALOCCUPANTS,TYPEOFHOUSE,YEARBUILT,EGHFCONELEC_POST,EGHFCONNGAS_POST,EGHFCONOIL_POST,EGHFCONPROP_POST,EGHFCONTOTAL_POST,EGHFCONWOOD_POST,EGHFURNACEAEC_POST,EGHHEATFCONSE_POST,EGHHEATFCONSG_POST,EGHHEATFCONSO_POST,EGHHEATFCONSP_POST,EGHHEATFCONSW_POST,EGHRATING_POST,EGHSPACEENERGY_POST,ELECAUTOCHRGSTATION_POST,EntrydateE,ERSELECGHG_POST,ERSGHG_POST,ERSLIGHTAPPLIANCEENERGY_POST,ERSNGASGHG_POST,ERSOILGHG_POST,ERSOTHERELECENERGY_POST,ERSPROPGHG_POST,ERSRATING_POST,ERSSPACECOOLENERGY_POST,ERSVENTILATIONENERGY_POST,ERSWATERHEATINGENERGY_POST,ERSWOODGHG_POST,FLOORAREA_POST,FURNACEFUEL_POST,HEATEDFLOORAREA_POST,INDFURNACEFUEL_POST,INDFURNACETYPE_POST,PDHWFUEL_POST,PROGRAMNAME
1453141,,VANCOUVER,V6P,2016,,,1990,7652.4,4584.2,0,0,198350.1,0,146243.7,1896,146243,0,0,0,0,148139.7,,0.2,9,11694.2,8.8,0,13928.4,0,198,0,30,24558.2,0,484.1,Natural Gas,419.74,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1995,7589.3,3828,0,0,169948.9,0,129488.4,1669,129488,0,0,0,0,131157.4,,2016,0.2,7.5,11694.2,7.4,0,13928.4,0,170,0,30,13139.2,0,484.1,Natural Gas,419.74,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1453203,,SURREY,V4A,2016,,,1980,7821.1,2374,0,0,116610.1,0,64119.8,1120,64120,0,0,0,0,65239.4,,0.2,4.7,11694.2,4.6,0,13928.4,0,117,0,1413.9,24334.5,0,164.3,Natural Gas,273.97,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1982,7789.1,2076.9,0,0,105423.7,0,57514.4,1004,57514,0,0,0,0,58518.6,,2016,0.2,4.2,11694.2,4,0,13928.4,0,105,0,1413.9,19868.8,0,164.3,Natural Gas,273.97,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1453205,,VANCOUVER,V6P,2016,,,1960,7750.1,2636.3,0,0,126127.8,0,73883.7,1147,73884,0,0,0,0,75030.4,,0.2,5.2,11694.2,5.1,0,13928.4,0,126,0,1131.1,24343.9,0,195.6,Natural Gas,202.9,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1962,7575.6,1850.7,0,0,96227.6,0,44600.6,518,44600,0,0,0,0,45119,,2016,0.2,3.7,11694.2,3.6,0,13928.4,0,96,0,1131.1,24355.1,0,195.6,Natural Gas,202.9,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1453208,,RICHMOND,V7C,2016,,,2000,8102.1,3883.5,0,0,173861.7,0,120353.8,1565,120354,0,0,0,0,121919.2,,0.2,7.7,11694.2,7.5,0,13928.4,0,174,0,1979.4,24340.8,0,290.2,Natural Gas,391.59,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,2003,8048.7,3390.7,0,0,155309.3,0,106459.9,1373,106460,0,0,0,0,107833.2,,2016,0.2,6.7,11694.2,6.5,0,13928.4,0,155,0,1979.4,19874.4,0,290.2,Natural Gas,391.59,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455749,,North Vancouver,V7N,2016,,,1940,7495.6,2253.6,0,0,110951.3,0,59574.5,1098,59574,0,0,0,0,60672.4,,0.2,4.5,11694.2,4.3,0,13928.4,0,111,0,263.6,24392.8,0,173.1,Natural Gas,169.08,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1949,7311.2,998.6,0,0,63526.5,0,23543.3,434,23543,0,0,0,0,23977.2,,2016,0.2,2.1,11694.2,1.9,0,13928.4,0,64,0,263.6,13663.1,0,173.1,Natural Gas,169.08,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455255,,VANCOUVER,V5W,2016,,,1950,8217.7,4655.5,0,0,203042.2,0,149200.3,1982,149200,0,0,0,0,151182.1,,0.2,9.1,11694.2,9,0,13928.4,0,203,0,1979.4,24258.5,0,291.4,Natural Gas,287.81,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1951,8137.1,4080,0,0,181309.8,0,127738.4,1691,127738,0,0,0,0,129429.7,,2016,0.2,8,11694.2,7.9,0,13928.4,0,181,0,1979.4,24278.4,0,291.4,Natural Gas,287.81,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455289,,VANCOUVER,V5E,2016,,,1990,8338,5659.7,0,0,240892.8,0,180046.9,2415,186507,0,0,0,0,188922,,0.2,11.1,11694.2,10.9,0,13928.4,0,241,0,1979.4,24369.2,0,398.5,Natural Gas,358.61,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1990,8299.5,3924.6,0,0,176104.7,0,123508.8,2276,129969,0,0,0,0,132245.4,,2016,0.2,7.7,11694.2,7.6,0,13928.4,0,176,0,1979.4,16257.6,0,398.5,Natural Gas,358.61,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455300,,RICHMOND,V6Y,2016,,,1980,7981,4286,0,0,188421.4,0,129074.9,1695,135535,0,0,0,0,137230.2,,0.2,8.4,11694.2,8.3,0,13928.4,0,188,0,1413.9,24155.2,0,242.7,Natural Gas,237.83,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1985,7593.7,2817.2,0,0,132301.4,0,74348.8,301,80809,0,0,0,0,81110,,2016,0.2,5.6,11694.2,5.4,0,13928.4,0,132,0,1413.9,24155.2,0,242.7,Natural Gas,237.83,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.3
1455203,,Vancouver,V4C,2016,,,1940,8034.8,3363.2,0,0,154234.7,0,100947.8,1323,100948,0,0,0,0,102270.9,,0.2,6.6,11694.2,6.5,0,13928.4,0,154,0,1979.4,24362,0,228.3,Natural Gas,234.12,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1945,7885.6,2353.5,0,0,116077.5,0,67619.1,786,67619,0,0,0,0,68405.1,,2016,0.2,4.7,11694.2,4.5,0,13928.4,0,116,0,1979.4,20070.6,0,228.3,Natural Gas,234.12,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
1455296,,VANCOUVER,V5N,2016,,,1970,8090.6,3804.3,0,0,170870.8,0,117602,1524,117602,0,0,0,0,119126,,0.2,7.5,11694.2,7.3,0,13928.4,0,171,0,1979.4,24143.1,0,191.4,Natural Gas,195.1,Electricity,Baseboard/Hydronic/Plenum,,Natural gas,3,Single Detached,1975,7878.1,2413.9,0,0,118299.2,0,65783.2,759,65783,0,0,0,0,66542.2,,2016,0.2,4.8,11694.2,4.7,0,13928.4,0,118,0,1979.4,24155.2,0,191.4,Natural Gas,195.1,Electricity,Baseboard/Hydronic/Plenum,Natural gas,HOT2000 11.2.86
